Date,Open,High,Low,Close,Adj Close,Volume
2009-05-29,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-01,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-02,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-03,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-04,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-05,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-08,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-09,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-10,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-11,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-12,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-15,46.5,46.5,46.5,46.5,37.272125244140625,0
2009-06-16,55.0,166.0,55.0,165.35000610351562,132.53646850585938,84537
2009-06-17,196.39999389648438,196.39999389648438,135.0,154.1999969482422,123.59919738769531,1129935
2009-06-18,150.0,159.0,125.19999694824219,129.89999389648438,104.12150573730469,327881
2009-06-19,130.0,141.6999969482422,128.5,138.75,111.21522521972656,217924
2009-06-22,139.9499969482422,140.0,133.0,133.60000610351562,107.08724212646484,45080
2009-06-23,120.19999694824219,131.0,120.19999694824219,124.94999694824219,100.15382385253906,37087
2009-06-24,127.80000305175781,131.60000610351562,120.0,128.0,102.59855651855469,26193
2009-06-25,126.19999694824219,153.60000610351562,126.19999694824219,146.1999969482422,117.1867904663086,110163
2009-06-26,147.0,159.5,146.0,154.39999389648438,123.7594985961914,92867
2009-06-29,156.0,185.3000030517578,145.10000610351562,185.3000030517578,148.5274658203125,227370
2009-06-30,193.39999389648438,221.5,192.0,216.1999969482422,173.29534912109375,1175626
2009-07-01,220.0,231.0,204.5500030517578,211.39999389648438,169.4479217529297,943217
2009-07-02,214.89999389648438,214.89999389648438,192.10000610351562,196.35000610351562,157.3845672607422,314366
2009-07-03,195.0,205.0,190.0,194.64999389648438,156.02191162109375,215422
2009-07-06,195.10000610351562,198.60000610351562,175.1999969482422,175.64999389648438,140.79248046875,111657
2009-07-07,170.0,182.89999389648438,161.0,165.25,132.45631408691406,69534
2009-07-08,166.0,175.0,152.9499969482422,166.89999389648438,133.7788848876953,121073
2009-07-09,166.89999389648438,181.89999389648438,166.89999389648438,175.14999389648438,140.3916778564453,103735
2009-07-10,175.0,184.75,158.0,163.89999389648438,131.37420654296875,61693
2009-07-13,158.89999389648438,160.0,151.10000610351562,153.5,123.0381088256836,30816
2009-07-14,160.0,163.6999969482422,156.35000610351562,159.60000610351562,127.9275894165039,33996
2009-07-15,161.25,175.60000610351562,161.25,175.60000610351562,140.75242614746094,37537
2009-07-16,180.25,187.3000030517578,173.0,176.3000030517578,141.3134765625,86640
2009-07-17,179.5,182.89999389648438,174.1999969482422,177.3000030517578,142.11502075195312,46329
2009-07-20,179.5,183.64999389648438,173.0500030517578,175.60000610351562,140.75242614746094,24496
2009-07-21,178.0,184.0,172.0500030517578,181.85000610351562,145.76211547851562,49999
2009-07-22,189.89999389648438,189.89999389648438,171.0,172.85000610351562,138.54812622070312,42645
2009-07-23,178.0,181.0,175.25,176.85000610351562,141.75436401367188,37592
2009-07-24,177.0,180.8000030517578,173.10000610351562,175.64999389648438,140.79248046875,29294
2009-07-27,176.0,184.8000030517578,176.0,177.5500030517578,142.31541442871094,43039
2009-07-28,182.0,183.0,175.5,177.8000030517578,142.5157928466797,59846
2009-07-29,171.39999389648438,182.0,164.0,172.25,138.06719970703125,87755
2009-07-30,175.9499969482422,176.0,168.0,169.8000030517578,136.10340881347656,28251
2009-07-31,173.0,174.9499969482422,155.60000610351562,165.4499969482422,132.61663818359375,47055
2009-08-03,165.0,182.0,163.0,182.0,145.88229370117188,109325
2009-08-04,185.0,193.75,177.10000610351562,186.35000610351562,149.3690643310547,245684
2009-08-05,186.0,189.6999969482422,178.5500030517578,181.10000610351562,145.16090393066406,91867
2009-08-06,181.8000030517578,184.39999389648438,170.0,172.89999389648438,138.58819580078125,44509
2009-08-07,173.5,179.85000610351562,164.3000030517578,166.85000610351562,133.73886108398438,63304
2009-08-10,172.60000610351562,173.89999389648438,155.0500030517578,157.5500030517578,126.28441619873047,61446
2009-08-11,155.0,163.8000030517578,155.0,159.64999389648438,127.96765899658203,30717
2009-08-12,159.60000610351562,164.35000610351562,155.1999969482422,160.6999969482422,128.80926513671875,30340
2009-08-13,165.0,169.89999389648438,164.14999389648438,167.39999389648438,134.17967224121094,25656
2009-08-14,170.0,170.0,163.10000610351562,164.35000610351562,131.7349395751953,15658
2009-08-17,159.39999389648438,162.8000030517578,153.1999969482422,154.4499969482422,123.79959106445312,16215
2009-08-18,158.5,158.5,153.0,154.6999969482422,123.99993896484375,12761
2009-08-19,156.1999969482422,159.0500030517578,150.10000610351562,151.39999389648438,121.35485076904297,14483
2009-08-20,153.3000030517578,159.8000030517578,152.3000030517578,157.60000610351562,126.324462890625,16993
2009-08-21,157.0,173.39999389648438,153.35000610351562,172.85000610351562,138.54812622070312,94995
2009-08-24,175.0,182.0,167.8000030517578,176.25,141.2733917236328,115710
2009-08-25,171.89999389648438,180.8000030517578,171.0,176.60000610351562,141.55397033691406,39913
2009-08-26,177.8000030517578,182.0,172.60000610351562,178.85000610351562,143.35743713378906,46771
2009-08-27,178.85000610351562,192.39999389648438,178.85000610351562,185.0,148.28697204589844,111742
2009-08-28,188.0,191.89999389648438,181.0,182.64999389648438,146.40330505371094,62607
2009-08-31,179.0,185.3000030517578,176.0,178.5500030517578,143.11695861816406,22147
2009-09-01,182.0,184.60000610351562,171.5,173.1999969482422,138.8286590576172,48641
2009-09-02,172.0,178.5,167.0,172.60000610351562,138.34774780273438,32523
2009-09-03,178.3000030517578,181.8000030517578,174.10000610351562,175.60000610351562,140.75242614746094,36677
2009-09-04,174.25,181.0,171.3000030517578,173.85000610351562,139.3496856689453,22929
2009-09-07,175.0500030517578,180.8000030517578,175.0,178.39999389648438,142.9967498779297,40286
2009-09-08,180.0,181.8000030517578,172.5500030517578,173.89999389648438,139.38975524902344,20190
