Date,Open,High,Low,Close,Adj Close,Volume
2023-12-20,798.000000,809.500000,755.099976,761.250000,758.328125,2897254
2023-12-21,752.849976,768.849976,746.299988,764.500000,761.565674,2869747
2023-12-22,807.000000,821.000000,788.849976,792.799988,789.757019,10836454
2023-12-26,795.000000,798.599976,780.000000,781.299988,778.301147,1907597
2023-12-27,785.000000,825.950012,784.049988,821.400024,818.247314,10656808
2023-12-28,822.000000,836.750000,806.599976,826.900024,823.726196,7403621
2023-12-29,827.549988,843.900024,822.599976,832.500000,829.304688,4195993
2024-01-01,831.500000,864.000000,831.000000,858.750000,855.453918,6424762
2024-01-02,853.799988,856.900024,836.000000,837.700012,834.484741,3672560
2024-01-03,837.700012,853.299988,836.099976,838.750000,835.530701,3684845
2024-01-04,837.000000,845.900024,833.000000,835.250000,832.044128,2024609
2024-01-05,836.599976,860.950012,836.599976,844.400024,841.158997,4193233
2024-01-08,845.000000,848.900024,819.299988,823.849976,820.687866,2265484
2024-01-09,829.099976,837.849976,828.500000,832.450012,829.254883,1408365
2024-01-10,835.000000,850.950012,835.000000,838.599976,835.381226,2639631
2024-01-11,841.000000,850.000000,831.000000,834.000000,830.798889,1576154
2024-01-12,830.000000,838.000000,827.000000,829.299988,826.116943,1800261
2024-01-15,829.299988,829.299988,829.299988,829.299988,826.116943,0
2024-01-16,856.000000,900.000000,850.000000,892.549988,889.124146,12525303
2024-01-17,882.000000,918.450012,874.000000,887.500000,884.093567,9015612
2024-01-18,890.000000,907.000000,867.049988,901.200012,897.740967,4546830
2024-01-19,909.000000,915.000000,898.000000,901.900024,898.438293,3328849
2024-01-23,943.950012,950.049988,869.200012,875.250000,871.890564,5296256
2024-01-24,878.200012,924.000000,866.000000,907.200012,903.717957,3503761
